관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,지상층수,지하층수,승강기_수,주건축물수,세대수,가구수,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적,용적율,주차_대수
11530-602,,지상,서울특별시 구로구 경인로53길 15,,,,5.0,0.0,0.0,,,,,,,174.92,3421.0
11590-100241986,11590-100241435,지상,서울특별시 동작구 사당로23길 112,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11530-7503,,지상,서울특별시 구로구 구로중앙로 217,8.0,1.0,3.0,,,,,,,,,,369.18,49.0
11530-2719,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,3.0,1.0,0.0,,,,,,,,,,0.0,0.0
11530-2718,11530-844,지상,서울특별시 구로구 오리로21가길 47-10,1.0,0.0,0.0,,,,,,,,,,0.0,0.0
11530-22437,,지상,서울특별시 구로구 구로중앙로19길 28,4.0,1.0,0.0,,,,,,,,,,197.13,2.0
11530-17081,,지상,서울특별시 구로구 개봉로 68,4.0,1.0,0.0,,,,,,,,,,199.84,3.0
11530-12625,,지상,서울특별시 구로구 구로중앙로 210,5.0,1.0,1.0,,,,,,,,,,173.56,12.0
11530-100189765,,지상,서울특별시 구로구 중앙로6길 40,3.0,0.0,0.0,,,,,,,,,,155.24,3.0
11590-824,,지상,서울특별시 동작구 상도로53길 8,,,,28.0,1656.0,0.0,,,,,,,229.25,2275.0
11590-100188912,,지상,서울특별시 동작구 만양로14마길 7,4.0,2.0,0.0,,,,,,,,,,189.2,4.0
11200-10473,,지상,서울특별시 성동구 고산자로6길 40,8.0,3.0,3.0,,,,,,,,,,246.48,155.0
11200-6580,,지상,서울특별시 성동구 고산자로22길 13-1,4.0,1.0,0.0,,,,,,,,,,175.4,2.0
11200-4536,11200-1211,지상,서울특별시 성동구 마장로 230-1,5.0,1.0,0.0,,,,,,,,,,219.7,6.0
11200-21629,11200-756,지상,서울특별시 성동구 성수이로 77,4.0,1.0,0.0,,,,,,,,,,199.19,4.0
11260-23720,,지상,서울특별시 중랑구 중랑역로 204,5.0,1.0,0.0,,,,,,,,,,138.12,7.0
11260-18316,,지상,서울특별시 중랑구 봉화산로 49,3.0,1.0,0.0,,,,,,,,,,144.36,0.0
11260-1000000000000001524604,,지상,서울특별시 중랑구 용마산로94길 74,5.0,0.0,1.0,,,,,,,,,,199.88,3.0
11590-13843,,지상,서울특별시 동작구 동작대로 51,4.0,1.0,0.0,,,,,,,,,,233.33,0.0
11140-16604,,지상,서울특별시 중구 퇴계로90길 18,3.0,0.0,0.0,,,,,,,,,,150.46,1.0
11710-14776,,지상,서울특별시 송파구 오금로36길 26,4.0,1.0,0.0,,,,,,,,,,162.88,3.0
11290-100202635,,지상,서울특별시 성북구 보문로29길 64,6.0,1.0,1.0,,,,,,,,,,199.9033,11.0
11680-5670,,지상,서울특별시 강남구 선릉로64길 5,5.0,1.0,1.0,,,,,,,,,,232.92,6.0
11320-100207251,,지상,방학동 345-0,,,,0.0,0.0,0.0,,,,,,,149.71,4.0
11140-7295,,지상,서울특별시 중구 퇴계로50길 24,3.0,1.0,0.0,,,,,,,,,,147.87,3.0
11710-100226585,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,2A47,지상,40.0,0.0,20.7525,0.0,0.0
11710-100226580,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A37,지상,10.0,3.0,6.4771,0.0,0.0
11710-100226584,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A47,지상,40.0,0.0,0.5458,0.0,0.0
11710-100226579,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A36,지상,40.0,0.0,16.6071,0.0,0.0
11710-100226583,11710-100226203,지상,서울특별시 송파구 올림픽로 145,,,,,,,상가,1A45,지상,10.0,3.0,7.0935,0.0,0.0
